Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Dustin Jacoby,190.0,205.0,193.0,18.0,6.0,1.0,5.44,47,4.03,58,0.4,25,60,0.0,35.0,10,-2,False,True,False,False,False
Ramiz Brahimaj,178.0,170.0,183.0,9.0,4.0,0.0,2.47,41,4.08,50,1.9,66,58,2.4,31.0,4,1,False,True,False,False,False
Johnny Walker,198.0,205.0,208.0,20.0,7.0,0.0,3.85,56,2.58,46,0.51,100,60,1.0,31.0,11,3,False,True,False,False,False
Jessica Aguilar,160.0,115.0,160.0,20.0,7.0,0.0,4.93,50,7.19,53,0.94,25,50,0.2,41.0,5,-2,False,True,False,False,False
Viscardi Andrade,180.0,170.0,190.0,18.0,6.0,0.0,3.26,42,2.77,63,1.93,50,66,0.3,39.0,4,2,False,True,False,False,False
Pearl Gonzalez,163.0,115.0,163.0,6.0,2.0,0.0,2.23,37,4.07,57,1.04,11,0,0.5,37.0,2,-2,False,True,False,False,False
Alexander Hernandez,175.0,155.0,183.0,13.0,6.0,0.0,4.57,40,4.53,56,1.38,32,63,0.1,31.0,11,1,False,True,False,False,False
Dan Cramer,188.0,170.0,188.0,11.0,3.0,0.0,0.97,30,2.1,31,0.0,0,66,0.5,38.0,2,-1,False,True,False,False,False
Peter Barrett,178.0,145.0,185.0,11.0,4.0,0.0,4.18,61,4.32,42,1.39,22,66,0.0,37.0,2,-2,False,False,False,True,False
Glover Teixeira,188.0,205.0,193.0,33.0,8.0,0.0,3.73,49,4.43,51,2.11,33,60,0.9,44.0,23,-2,False,True,False,False,False
David Abbott,183.0,265.0,183.0,10.0,14.0,0.0,1.35,30,3.55,38,1.07,33,66,0.0,37.0,10,-4,False,False,False,False,True
Bob Gilstrap,190.0,200.0,190.0,5.0,6.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Sean Strickland,185.0,185.0,193.0,25.0,5.0,0.0,5.76,41,4.25,63,1.04,64,85,0.2,32.0,18,1,False,True,False,False,False
David Michaud,175.0,155.0,175.0,11.0,2.0,0.0,3.25,43,4.45,54,2.53,58,77,0.7,35.0,3,-1,False,True,False,False,False
